YEAR,MONTH,DAY,ACME,CHAN,CHIC,ELRE,FTCB,GUTH,HINT,KETC,MARE,NINN,OKCE,PAUL,PERK,SHAW,SPEN,WASH,WATO
2017,5,2,28.5,28.9,28.74,28.45,28.42,28.76,28.19,28.69,28.78,28.64,28.67,28.88,28.9,28.77,28.61,28.69,28.13
2017,5,3,28.54,28.9,28.78,28.5,28.48,28.79,28.26,28.71,28.8,28.68,28.69,28.87,28.91,28.76,28.63,28.71,28.2
2017,5,4,28.7,29.03,28.93,28.63,28.63,28.91,28.39,28.88,28.92,28.84,28.83,29.04,29.03,28.91,28.76,28.87,28.31
2017,5,5,28.66,29,28.89,28.58,28.58,28.87,28.34,28.84,28.88,28.79,28.79,29.01,28.99,28.88,28.73,28.83,28.26
2017,5,6,28.57,28.92,28.8,28.49,28.48,28.78,28.24,28.76,28.79,28.7,28.71,28.93,28.91,28.8,28.64,28.75,28.16
2017,5,7,28.55,28.92,28.78,28.47,28.46,28.77,28.22,28.74,28.78,28.68,28.7,28.92,28.91,28.8,28.64,28.74,28.14
2017,5,8,28.58,28.96,28.81,28.51,28.49,28.8,28.25,28.77,28.82,28.71,28.73,28.96,28.94,28.83,28.67,28.77,28.17
2017,5,9,28.57,28.94,28.8,28.49,28.48,28.78,28.24,28.76,28.8,28.7,28.71,28.94,28.92,28.81,28.65,28.75,28.16
2017,5,10,28.5,28.88,28.72,28.42,28.4,28.72,28.17,28.69,28.74,28.63,28.65,28.88,28.86,28.76,28.59,28.69,28.1
2017,5,11,28.49,28.83,28.71,28.41,28.41,28.7,28.17,28.66,28.71,28.61,28.61,28.83,28.83,28.71,28.55,28.65,28.1
2017,5,12,28.58,28.9,28.81,28.52,28.51,28.79,28.28,28.74,28.8,28.71,28.71,28.9,28.91,28.78,28.64,28.73,28.21
2017,5,13,28.57,28.93,28.8,28.49,28.48,28.78,28.24,28.75,28.8,28.7,28.71,28.93,28.92,28.8,28.64,28.74,28.16
2017,5,14,28.5,28.87,28.73,28.41,28.41,28.71,28.16,28.7,28.72,28.63,28.64,28.88,28.85,28.75,28.58,28.69,28.07
2017,5,15,28.46,28.83,28.69,28.37,28.36,28.66,28.12,28.66,28.68,28.59,28.6,28.84,28.81,28.71,28.54,28.65,28.03
2017,5,16,28.33,28.72,28.57,28.24,28.24,28.54,27.98,28.54,28.56,28.47,28.48,28.72,28.69,28.59,28.42,28.53,27.89
2017,5,17,28.28,28.62,28.5,28.16,28.16,28.44,27.91,28.48,28.45,28.4,28.39,28.66,28.58,28.51,28.33,28.46,27.8
